id,date,address,category,lat,lng
48,24/12/2019,"Schaperstraße 24, 10719 Berlin-Wilmersdorf",Konzerte,52.49887445133727,13.32850067890669
49,25/12/2019,"Am Kupfergraben, 10117 Berlin-Mitte",Konzerte,52.5208183,13.3925513
50,25/12/2019,"Bölschestraße 27-30, 12587 Berlin-Köpenick",Konzerte,52.4502168,13.6227561
51,25/12/2019,"Karl-Liebknecht-Straße 8, 10178 Berlin-Mitte",Konzerte,52.52054192474462,13.406670667090554
52,25/12/2019,"Schaperstraße 24, 10719 Berlin-Wilmersdorf",Konzerte,52.49887445133727,13.32850067890669
53,25/12/2019,"Schlossinsel 1, 12557 Berlin-Köpenick",Konzerte,52.4432765,13.5715638
54,26/12/2019,"Am Kupfergraben, 10117 Berlin-Mitte",Konzerte,52.5208183,13.3925513
55,26/12/2019,"Am Lustgarten, 10178 Berlin-Mitte",Konzerte,52.5191213,13.3979725
56,26/12/2019,"Bölschestraße 27-30, 12587 Berlin-Köpenick",Konzerte,52.4502168,13.6227561
57,26/12/2019,"Gendarmenmarkt 5, 10117 Berlin-Mitte",Konzerte,52.514295363942026,13.392207432262207
58,26/12/2019,"Gendarmenmarkt, 10117 Berlin-Mitte",Konzerte,52.5126292,13.3882664
59,26/12/2019,"Herbert-von-Karajan-Straße 1, 10785 Berlin-Tiergarten",Konzerte,52.51006817458727,13.36897321920824
60,26/12/2019,"Karl-Liebknecht-Straße 8, 10178 Berlin-Mitte",Konzerte,52.52054192474462,13.406670667090554
61,26/12/2019,"Marheinekeplatz 2, 10961 Berlin-Kreuzberg",Konzerte,52.4892895,13.3947033
62,26/12/2019,"Oranienstraße 190, 10999 Berlin-Kreuzberg",Konzerte,52.500341020267065,13.422218831433575
63,26/12/2019,"Schlossinsel 1, 12557 Berlin-Köpenick",Konzerte,52.4432765,13.5715638
64,26/12/2019,"Wilhelmsaue 119, 10715 Berlin-Wilmersdorf",Konzerte,52.48497953557618,13.32435531837005
65,27/12/2019,"Am Kupfergraben, 10117 Berlin-Mitte",Konzerte,52.5208183,13.3925513
66,27/12/2019,"Nikolaikirchplatz, 10178 Berlin-Mitte",Konzerte,52.5166892,13.4056898
67,27/12/2019,"Rosa-Luxemburg-Platz, 10178 Berlin-Mitte",Konzerte,52.5266977,13.4091365
68,28/12/2019,"Am Kupfergraben, 10117 Berlin-Mitte",Konzerte,52.5208183,13.3925513
69,28/12/2019,"Falckensteinstraße 48, 10997 Berlin-Kreuzberg",Konzerte,52.50084547592356,13.444923477319097
70,28/12/2019,"Kantstraße 12A, 10623 Berlin-Charlottenburg",Konzerte,52.50598,13.326396
71,28/12/2019,"Knaackstraße 97, 10435 Berlin-Prenzlauer Berg",Konzerte,52.540326091828774,13.41414733268664
72,28/12/2019,"Kulmer Straße 20A, 10783 Berlin-Schöneberg",Konzerte,52.4919733,13.3624177
73,28/12/2019,"Kulmer Straße 20A, 10783 Berlin-Schöneberg",Konzerte,52.4919733,13.3624177
74,28/12/2019,"Mehringdamm 34, 10961 Berlin-Kreuzberg",Konzerte,52.49360824717965,13.387768229682473
75,28/12/2019,"Rosa-Luxemburg-Platz, 10178 Berlin-Mitte",Konzerte,52.5266977,13.4091365
76,28/12/2019,"Rosa-Luxemburg-Platz, 10178 Berlin-Mitte",Konzerte,52.5266977,13.4091365
77,28/12/2019,"Schlossinsel 1, 12557 Berlin-Köpenick",Konzerte,52.4432765,13.5715638
78,29/12/2019,"Am Kupfergraben, 10117 Berlin-Mitte",Konzerte,52.5208183,13.3925513
79,29/12/2019,"Cuvrystraße 7, 10997 Berlin-Kreuzberg",Konzerte,52.49917433785956,13.445165990515113
80,29/12/2019,"Gendarmenmarkt 5, 10117 Berlin-Mitte",Konzerte,52.514295363942026,13.392207432262207
81,29/12/2019,"Gendarmenmarkt, 10117 Berlin-Mitte",Konzerte,52.5126292,13.3882664
82,29/12/2019,"Knaackstraße 97, 10435 Berlin-Prenzlauer Berg",Konzerte,52.540326091828774,13.41414733268664
83,29/12/2019,"Knaackstraße 97, 10435 Berlin-Prenzlauer Berg",Konzerte,52.540326091828774,13.41414733268664
84,29/12/2019,"Rosa-Luxemburg-Platz, 10178 Berlin-Mitte",Konzerte,52.5266977,13.4091365
85,29/12/2019,"Rosa-Luxemburg-Platz, 10178 Berlin-Mitte",Konzerte,52.5266977,13.4091365
86,29/12/2019,"Schlossinsel 1, 12557 Berlin-Köpenick",Konzerte,52.4432765,13.5715638
87,30/12/2019,"Cuvrystraße 7, 10997 Berlin-Kreuzberg",Konzerte,52.49917433785956,13.445165990515113
88,30/12/2019,"Klixstraße 2, 10823 Berlin-Schöneberg",Konzerte,52.489169444053786,13.35092890637671
89,30/12/2019,"Knaackstraße 97, 10435 Berlin-Prenzlauer Berg",Konzerte,52.540326091828774,13.41414733268664
90,30/12/2019,"Oranienstraße 190, 10999 Berlin-Kreuzberg",Konzerte,52.500341020267065,13.422218831433575
91,30/12/2019,"Rosa-Luxemburg-Platz, 10178 Berlin-Mitte",Konzerte,52.5266977,13.4091365
92,31/12/2019,"Gendarmenmarkt, 10117 Berlin-Mitte",Konzerte,52.5126292,13.3882664
93,31/12/2019,"Rosa-Luxemburg-Platz, 10178 Berlin-Mitte",Konzerte,52.5266977,13.4091365
94,31/12/2019,"Schaperstraße 24, 10719 Berlin-Wilmersdorf",Konzerte,52.49887445133727,13.32850067890669
95,31/12/2019,"Schloßstraße 48 A, 12165 Berlin-Steglitz",Konzerte,52.4542489,13.3150998
96,31/12/2019,"Schloßstraße 48 A, 12165 Berlin-Steglitz",Konzerte,52.4542489,13.3150998
97,31/12/2019,"Stargarder Straße 77, 10437 Berlin-Prenzlauer Berg",Konzerte,52.54764399357961,13.415733445518821
98,31/12/2019,"Unter den Linden 7, 10117 Berlin-Mitte",Konzerte,52.51708609890418,13.394682104091348
99,31/12/2019,"Warmbrunner Straße 52, 14193 Berlin-Wilmersdorf",Konzerte,52.48604543094385,13.296201787355196
100,01/01/2020,"Am Kupfergraben, 10117 Berlin-Mitte",Konzerte,52.5208183,13.3925513
101,01/01/2020,"Gendarmenmarkt, 10117 Berlin-Mitte",Konzerte,52.5126292,13.3882664
102,01/01/2020,"Rosa-Luxemburg-Platz, 10178 Berlin-Mitte",Konzerte,52.5266977,13.4091365
103,01/01/2020,"Rosa-Luxemburg-Platz, 10178 Berlin-Mitte",Konzerte,52.5266977,13.4091365
104,01/01/2020,"Schlossinsel 1, 12557 Berlin-Köpenick",Konzerte,52.4432765,13.5715638
105,01/01/2020,"Schloßstraße 48 A, 12165 Berlin-Steglitz",Konzerte,52.4542489,13.3150998
106,01/01/2020,"Unter den Linden 7, 10117 Berlin-Mitte",Konzerte,52.51708609890418,13.394682104091348
